Location,Cycle Time (Mins),Payment Type ,Risk Level
CAY,174,Urgent,ENH
CAY,174,Urgent,ENH
CUR,174,Non Urgent,ENH
CAY,174,Non Urgent,ENH
CAY,174,Non Urgent,ENH
CAY,174,Non Urgent,ENH
CAY,174,Non Urgent,ENH
CAY,174,Urgent,ENH
CAY,173,Urgent,ENH
CUR,173,Non Urgent,ENH
CUR,173,Non Urgent,ENH
CUR,173,Non Urgent,ENH
CAY,173,Non Urgent,ENH
CAY,173,Non Urgent,ENH
CAY,173,Urgent,ENH
CAY,172,Non Urgent,ENH
CAY,172,Non Urgent,ENH
CAY,172,Non Urgent,ENH
CAY,172,Non Urgent,ENH
CAY,172,Non Urgent,ENH
CAY,172,Urgent,ENH
CAY,172,Urgent,ENH
CUR,171,Non Urgent,ENH
CUR,171,Non Urgent,ENH
CAY,171,Non Urgent,ENH
CAY,171,Non Urgent,ENH
CAY,171,Non Urgent,ENH
CAY,171,Non Urgent,ENH
CAY,171,Non Urgent,ENH
CAY,170,Urgent,ENH
CAY,170,Urgent,ENH
CUR,170,Non Urgent,ENH
CAY,170,Non Urgent,ENH
CAY,170,Non Urgent,ENH
CAY,170,Non Urgent,ENH
CAY,170,Non Urgent,ENH
CAY,170,Non Urgent,ENH
CAY,170,Non Urgent,ENH
CAY,170,Non Urgent,ENH
CAY,170,Urgent,ENH
CAY,170,Urgent,ENH
CAY,169,Urgent,ENH
CAY,169,Non Urgent,ENH
CAY,168,Urgent,ENH
CAY,168,Urgent,ENH
CAY,168,Urgent,ENH
CUR,168,Non Urgent,ENH
CUR,168,Non Urgent,ENH
CUR,168,Non Urgent,ENH
CAY,168,Non Urgent,ENH
CAY,168,Non Urgent,ENH
CAY,168,Urgent,ENH
CAY,167,Non Urgent,ENH
CAY,167,Non Urgent,ENH
CAY,167,Non Urgent,ENH
CAY,167,Urgent,ENH
CAY,167,Urgent,ENH
CAY,166,Urgent,ENH
CAY,166,Urgent,ENH
CAY,166,Urgent,ENH
CAY,166,Non Urgent,ENH
CAY,166,Non Urgent,ENH
CAY,166,Non Urgent,ENH
CAY,166,Non Urgent,ENH
CAY,165,Urgent,ENH
CAY,165,Urgent,ENH
CAY,165,Urgent,ENH
CAY,164,Urgent,ENH
CAY,164,Non Urgent,ENH
CAY,164,Urgent,ENH
CAY,164,Urgent,ENH
CAY,163,Urgent,ENH
CAY,163,Non Urgent,ENH
CAY,163,Non Urgent,ENH
CAY,163,Non Urgent,ENH
CAY,163,Non Urgent,ENH
CAY,163,Non Urgent,ENH
CAY,163,Non Urgent,ENH
CAY,163,Non Urgent,ENH
CAY,163,Urgent,ENH
CAY,162,Non Urgent,ENH
CAY,162,Urgent,ENH
CUR,161,Urgent,ENH
CUR,161,Urgent,ENH
CAY,161,Non Urgent,ENH
CAY,160,Urgent,ENH
CAY,160,Urgent,ENH
CAY,160,Non Urgent,ENH
CAY,160,Urgent,ENH
CAY,159,Urgent,ENH
CAY,159,Urgent,ENH
CUR,159,Non Urgent,ENH
CAY,159,Urgent,ENH
CAY,159,Urgent,ENH
CAY,158,Urgent,ENH
CAY,158,Urgent,ENH
CAY,158,Urgent,ENH
CAY,158,Non Urgent,ENH
CAY,158,Urgent,ENH
CAY,158,Urgent,ENH
CAY,158,Urgent,ENH
CAY,157,Urgent,ENH
CUR,157,Urgent,ENH
CAY,157,Non Urgent,ENH
CAY,157,Urgent,ENH
CAY,157,Urgent,ENH
CAY,157,Urgent,ENH
CUR,156,Urgent,ENH
CAY,156,Urgent,ENH
CAY,156,Urgent,ENH
CAY,155,Urgent,ENH
CUR,154,Urgent,ENH
CAY,153,Urgent,ENH
CAY,153,Urgent,ENH
CAY,153,Urgent,ENH
CAY,153,Urgent,ENH
CAY,152,Urgent,ENH
CAY,152,Urgent,ENH
CUR,152,Urgent,ENH
CAY,152,Urgent,ENH
CAY,151,Urgent,ENH
CAY,151,Urgent,ENH
CUR,151,Urgent,ENH
CAY,150,Urgent,ENH
CAY,150,Urgent,ENH
CAY,150,Urgent,ENH
CAY,150,Urgent,ENH
CUR,149,Urgent,ENH
CUR,149,Urgent,ENH
CAY,149,Urgent,ENH
CAY,149,Urgent,ENH
CAY,148,Urgent,ENH
CUR,148,Urgent,ENH
CUR,148,Urgent,ENH
CUR,148,Urgent,ENH
CAY,148,Non Urgent,ENH
CAY,148,Urgent,ENH
CUR,147,Urgent,ENH
CUR,147,Urgent,ENH
CUR,147,Urgent,ENH
CAY,146,Urgent,ENH
CUR,146,Urgent,ENH
CUR,146,Urgent,ENH
CUR,146,Urgent,ENH
CUR,146,Urgent,ENH
CUR,145,Urgent,ENH
CUR,145,Urgent,ENH
CAY,144,Urgent,ENH
CUR,144,Urgent,ENH
CUR,144,Urgent,ENH
CAY,144,Urgent,ENH
CAY,144,Urgent,ENH
CAY,144,Urgent,ENH
CAY,144,Urgent,ENH
CAY,143,Urgent,ENH
CAY,143,Urgent,ENH
CUR,143,Urgent,ENH
CUR,143,Urgent,ENH
CAY,143,Urgent,ENH
CAY,142,Urgent,ENH
CAY,142,Urgent,ENH
CAY,141,Urgent,ENH
CAY,141,Urgent,ENH
CUR,141,Urgent,ENH
CUR,141,Urgent,ENH
CUR,141,Urgent,ENH
CUR,141,Urgent,ENH
CUR,141,Urgent,ENH
CUR,141,Urgent,ENH
CUR,141,Urgent,ENH
CUR,141,Urgent,ENH
CUR,141,Urgent,ENH
CAY,140,Urgent,ENH
CUR,140,Urgent,ENH
CUR,140,Urgent,ENH
CUR,140,Urgent,ENH
CUR,140,Urgent,ENH
CUR,140,Urgent,ENH
CUR,140,Urgent,ENH
CAY,140,Urgent,ENH
CUR,139,Urgent,ENH
CUR,139,Urgent,ENH
CUR,139,Urgent,ENH
CUR,139,Urgent,ENH
CUR,138,Urgent,ENH
CUR,138,Urgent,ENH
CUR,138,Urgent,ENH
CAY,137,Urgent,ENH
CUR,137,Urgent,ENH
CUR,137,Urgent,ENH
CUR,137,Urgent,ENH
CUR,137,Urgent,ENH
CUR,136,Urgent,ENH
CUR,136,Urgent,ENH
CUR,136,Urgent,ENH
CUR,136,Urgent,ENH
CUR,136,Urgent,ENH
CUR,135,Urgent,ENH
CUR,135,Urgent,ENH
CUR,135,Urgent,ENH
CAY,135,Urgent,ENH
CUR,134,Urgent,ENH
CUR,133,Urgent,ENH
CUR,132,Urgent,ENH
CUR,132,Urgent,ENH
CUR,132,Urgent,ENH
CUR,132,Urgent,ENH
CUR,131,Urgent,ENH
CUR,131,Urgent,ENH
CUR,130,Urgent,ENH
CUR,130,Urgent,ENH
CUR,130,Urgent,ENH
CUR,130,Urgent,ENH
CUR,129,Urgent,ENH
CUR,129,Urgent,ENH
CAY,129,Urgent,ENH
CAY,128,Urgent,ENH
CUR,128,Urgent,ENH
CUR,128,Urgent,ENH
CUR,128,Urgent,ENH
CUR,128,Urgent,STND
CUR,127,Urgent,ENH
CUR,126,Urgent,ENH
CUR,125,Urgent,ENH
CUR,125,Urgent,ENH
CUR,125,Urgent,ENH
CUR,125,Urgent,ENH
CUR,124,Urgent,ENH
CUR,124,Urgent,ENH
CUR,123,Urgent,ENH
CAY,123,Urgent,ENH
CAY,122,Urgent,ENH
CUR,121,Urgent,ENH
CUR,121,Urgent,STND
CAY,120,Urgent,ENH
CUR,119,Urgent,STND
CUR,119,Urgent,STND
CUR,119,Urgent,STND
CUR,118,Urgent,ENH
CUR,118,Urgent,ENH
CUR,118,Urgent,STND
CUR,118,Urgent,STND
CUR,118,Urgent,STND
CUR,117,Urgent,STND
CUR,116,Urgent,ENH
CUR,116,Urgent,STND
CUR,116,Urgent,STND
CUR,116,Urgent,STND
CAY,115,Urgent,ENH
CUR,115,Urgent,STND
CUR,115,Urgent,STND
CUR,114,Urgent,STND
CAY,114,Urgent,ENH
CAY,114,Urgent,ENH
CUR,113,Urgent,ENH
CUR,113,Urgent,STND
CAY,112,Urgent,ENH
CUR,111,Urgent,STND
CAY,110,Urgent,ENH
CAY,110,Urgent,ENH
CAY,110,Urgent,ENH
CAY,110,Urgent,ENH
CAY,110,Urgent,ENH
CAY,110,Urgent,ENH
CAY,109,Urgent,ENH
CAY,109,Urgent,ENH
CUR,109,Urgent,STND
CUR,109,Urgent,STND
CAY,109,Urgent,ENH
CAY,109,Urgent,ENH
CAY,108,Urgent,ENH
CUR,108,Urgent,STND
CUR,108,Urgent,STND
CAY,108,Urgent,ENH
CAY,107,Urgent,ENH
CAY,107,Urgent,ENH
CAY,107,Urgent,ENH
CUR,107,Urgent,STND
CUR,107,Urgent,STND
CAY,107,Urgent,ENH
CAY,107,Urgent,ENH
CAY,107,Urgent,ENH
CAY,107,Urgent,ENH
CAY,107,Urgent,ENH
CAY,107,Urgent,ENH
CAY,106,Urgent,ENH
CUR,106,Urgent,STND
CUR,106,Urgent,STND
CUR,106,Urgent,STND
CUR,106,Urgent,STND
CAY,106,Urgent,ENH
CAY,106,Urgent,ENH
CAY,106,Urgent,ENH
CAY,106,Urgent,ENH
CAY,106,Urgent,ENH
CAY,106,Urgent,ENH
CAY,105,Urgent,ENH
CAY,105,Urgent,ENH
CAY,105,Urgent,ENH
CAY,105,Urgent,ENH
CAY,105,Urgent,ENH
CUR,105,Urgent,STND
CUR,105,Urgent,STND
CAY,105,Urgent,ENH
CAY,105,Urgent,ENH
CAY,105,Urgent,ENH
CAY,105,Urgent,ENH
CAY,105,Urgent,ENH
CAY,104,Urgent,ENH
CAY,104,Urgent,ENH
CAY,104,Urgent,ENH
CAY,104,Urgent,ENH
CUR,104,Urgent,STND
CUR,104,Urgent,STND
CUR,104,Urgent,STND
CUR,104,Urgent,STND
CUR,104,Urgent,STND
CAY,104,Urgent,ENH
CAY,104,Urgent,ENH
CAY,104,Urgent,ENH
CAY,104,Urgent,ENH
CAY,104,Urgent,ENH
CAY,103,Urgent,ENH
CAY,103,Urgent,ENH
CAY,103,Urgent,ENH
CUR,103,Urgent,STND
CUR,103,Urgent,STND
CUR,103,Urgent,STND
CUR,103,Urgent,STND
CUR,103,Urgent,STND
CAY,103,Urgent,ENH
CAY,103,Urgent,STND
CAY,103,Urgent,ENH
CAY,103,Urgent,ENH
CAY,103,Urgent,ENH
CAY,103,Urgent,STND
CAY,102,Urgent,ENH
CAY,102,Urgent,ENH
CAY,102,Urgent,ENH
CAY,102,Urgent,ENH
CUR,102,Urgent,STND
CUR,102,Urgent,STND
CUR,102,Urgent,STND
CUR,102,Urgent,STND
CUR,102,Urgent,STND
CUR,102,Urgent,STND
CAY,102,Urgent,ENH
CAY,102,Urgent,ENH
CAY,102,Urgent,ENH
CAY,102,Urgent,ENH
CAY,102,Urgent,ENH
CAY,102,Urgent,ENH
CAY,101,Urgent,ENH
CAY,101,Urgent,STND
CAY,101,Urgent,ENH
CAY,101,Urgent,ENH
CAY,101,Urgent,ENH
CAY,101,Urgent,ENH
CUR,101,Urgent,STND
CUR,101,Urgent,STND
CUR,101,Urgent,STND
CUR,101,Urgent,STND
CAY,101,Urgent,STND
CAY,101,Urgent,ENH
CAY,101,Urgent,ENH
CAY,101,Urgent,ENH
CAY,100,Urgent,ENH
CAY,100,Urgent,ENH
CAY,100,Urgent,ENH
CUR,100,Urgent,STND
CUR,100,Urgent,STND
CUR,100,Urgent,STND
CAY,100,Urgent,ENH
CAY,100,Urgent,ENH
CAY,100,Urgent,ENH
CAY,99,Urgent,ENH
CAY,99,Urgent,ENH
CAY,99,Urgent,ENH
CAY,99,Urgent,ENH
CAY,99,Urgent,ENH
CAY,99,Urgent,ENH
CAY,99,Urgent,ENH
CUR,99,Urgent,STND
CUR,99,Urgent,STND
CAY,99,Urgent,ENH
CAY,98,Urgent,ENH
CAY,98,Urgent,ENH
CAY,98,Urgent,ENH
CAY,98,Urgent,ENH
CUR,98,Urgent,STND
CUR,98,Urgent,STND
CAY,98,Urgent,ENH
CAY,98,Urgent,ENH
CAY,98,Urgent,ENH
CAY,97,Urgent,ENH
CAY,97,Urgent,ENH
CAY,97,Urgent,ENH
CAY,97,Urgent,ENH
CUR,97,Urgent,STND
CUR,97,Urgent,STND
CAY,97,Urgent,ENH
CAY,97,Urgent,ENH
CAY,97,Urgent,STND
CAY,96,Urgent,STND
CAY,96,Urgent,ENH
CAY,96,Urgent,ENH
CUR,96,Urgent,STND
CUR,96,Urgent,STND
CUR,96,Urgent,STND
CUR,96,Urgent,STND
CUR,96,Urgent,STND
CUR,96,Urgent,STND
CUR,96,Urgent,STND
CUR,96,Urgent,STND
CAY,96,Urgent,ENH
CAY,96,Urgent,ENH
CAY,95,Urgent,ENH
CUR,95,Urgent,STND
CUR,95,Urgent,STND
CAY,95,Urgent,ENH
CAY,94,Urgent,ENH
CAY,94,Urgent,ENH
CAY,94,Urgent,ENH
CAY,94,Urgent,ENH
CAY,94,Urgent,ENH
CAY,94,Urgent,ENH
CAY,93,Urgent,ENH
CAY,93,Urgent,ENH
CUR,93,Urgent,STND
CAY,93,Urgent,ENH
CAY,93,Urgent,STND
CAY,92,Urgent,ENH
CAY,92,Urgent,STND
CUR,92,Urgent,STND
CUR,92,Urgent,STND
CUR,92,Urgent,STND
CUR,92,Urgent,STND
CUR,92,Urgent,STND
CUR,92,Non Urgent,STND
CUR,92,Non Urgent,STND
CAY,92,Urgent,STND
CAY,92,Urgent,ENH
CAY,91,Urgent,STND
CUR,91,Urgent,STND
CUR,91,Urgent,STND
CUR,91,Non Urgent,STND
CUR,91,Non Urgent,STND
CUR,91,Non Urgent,STND
CUR,91,Non Urgent,STND
CAY,91,Urgent,STND
CUR,90,Non Urgent,STND
CUR,90,Non Urgent,STND
CUR,90,Non Urgent,STND
CUR,90,Non Urgent,STND
CUR,90,Non Urgent,STND
CAY,89,Urgent,STND
CAY,89,Urgent,STND
CUR,89,Urgent,STND
CUR,89,Urgent,STND
CUR,89,Non Urgent,STND
CUR,89,Non Urgent,STND
CUR,89,Non Urgent,STND
CUR,89,Non Urgent,STND
CAY,89,Urgent,STND
CAY,88,Urgent,STND
CUR,88,Urgent, ENH
CUR,88,Urgent,STND
CUR,88,Urgent,STND
CUR,88,Non Urgent,STND
CUR,88,Non Urgent,STND
CAY,88,Urgent,STND
CUR,87,Urgent,STND
CUR,87,Urgent,STND
CUR,87,Urgent,STND
CUR,87,Non Urgent,STND
CUR,87,Non Urgent,STND
CUR,87,Non Urgent,STND
CUR,87,Non Urgent,STND
CUR,87,Non Urgent,STND
CAY,86,Urgent,STND
CAY,86,Urgent,STND
CUR,86,Urgent,STND
CUR,86,Non Urgent,STND
CUR,86,Non Urgent,STND
CUR,86,Non Urgent,STND
CUR,86,Non Urgent,STND
CUR,86,Non Urgent,STND
CUR,86,Non Urgent,STND
CUR,86,Non Urgent,STND
CUR,86,Non Urgent,STND
CUR,86,Non Urgent,STND
CAY,86,Non Urgent,STND
CAY,86,Urgent,STND
CUR,85,Urgent,STND
CUR,85,Urgent,STND
CUR,85,Non Urgent,STND
CUR,85,Non Urgent,STND
CUR,85,Non Urgent,STND
CUR,85,Non Urgent,STND
CUR,85,Non Urgent,STND
CUR,85,Non Urgent,STND
CUR,85,Non Urgent,STND
CUR,85,Non Urgent,STND
CUR,85,Non Urgent,STND
CAY,84,Urgent,STND
CUR,84,Urgent,STND
CUR,84,Urgent,STND
CUR,84,Urgent,STND
CUR,84,Non Urgent,STND
CUR,84,Non Urgent,STND
CAY,84,Non Urgent,STND
CUR,83,Non Urgent,STND
CUR,83,Non Urgent,STND
CUR,83,Non Urgent,STND
CUR,83,Non Urgent,STND
CUR,83,Non Urgent,STND
CAY,83,Urgent,STND
CUR,82,Urgent,STND
CUR,82,Urgent,STND
CUR,82,Non Urgent,STND
CUR,82,Non Urgent,STND
CAY,82,Non Urgent,STND
CAY,82,Non Urgent,STND
CAY,82,Non Urgent,STND
CUR,81,Urgent,ENH
CUR,81,Urgent,STND
CAY,81,Non Urgent,STND
CAY,81,Non Urgent,STND
CAY,81,Urgent,STND
CUR,80,Urgent,STND
CUR,80,Urgent,STND
CUR,80,Non Urgent,STND
CAY,80,Non Urgent,STND
CAY,80,Non Urgent,STND
CUR,79,Urgent,ENH
CUR,79,Urgent,STND
CUR,79,Urgent,STND
CUR,79,Urgent,STND
CUR,79,Urgent,STND
CUR,79,Urgent,STND
CAY,79,Non Urgent,STND
CAY,79,Non Urgent,STND
CAY,78,Urgent,STND
CAY,78,Urgent,STND
CUR,78,Urgent,STND
CUR,78,Urgent,STND
CAY,78,Non Urgent,STND
CAY,78,Urgent,STND
CAY,78,Urgent,STND
CAY,77,Urgent,STND
CUR,77,Urgent,STND
CUR,77,Urgent,STND
CAY,77,Urgent,STND
CAY,77,Urgent,STND
CAY,75,Urgent,STND
CAY,75,Urgent,STND
DUB,75,Non Urgent,ENH
CUR,75,Non Urgent,STND
CAY,75,Non Urgent,STND
CAY,75,Non Urgent,STND
CAY,75,Urgent,STND
CAY,75,Urgent,STND
CUR,74,Urgent,STND
CAY,74,Non Urgent,STND
CAY,74,Non Urgent,STND
CAY,74,Non Urgent,STND
AMS,74,Urgent,ENH
AMS,74,Non Urgent,STND
CAY,73,Urgent,STND
CAY,73,Urgent,STND
JRC,73,Non Urgent,STND
DUB,73,Non Urgent,ENH
AMS,73,Urgent,ENH
AMS,73,Urgent,ENH
CAY,73,Urgent,STND
CAY,72,Urgent,STND
CAY,72,Urgent,STND
CUR,72,Urgent,STND
CAY,72,Non Urgent,STND
CAY,72,Non Urgent,STND
CAY,72,Non Urgent,STND
CAY,72,Non Urgent,STND
AMS,72,Urgent,ENH
CAY,71,Urgent,STND
CAY,71,Urgent,STND
CAY,71,Urgent,STND
JRC,71,Non Urgent,STND
JRC,71,Non Urgent,STND
DUB,71,Non Urgent,ENH
CAY,71,Non Urgent,STND
CAY,71,Non Urgent,STND
CAY,71,Non Urgent,STND
CAY,71,Non Urgent,STND
AMS,71,Urgent,ENH
AMS,71,Urgent,ENH
CAY,71,Urgent,STND
CAY,70,Urgent,STND
DUB,70,Non Urgent,ENH
CAY,70,Non Urgent,STND
CAY,70,Non Urgent,STND
CAY,70,Non Urgent,STND
CAY,70,Non Urgent,STND
AMS,70,Urgent,ENH
AMS,70,Urgent,ENH
CAY,70,Urgent,STND
CAY,69,Urgent,STND
CAY,69,Urgent,STND
JRC,69,Non Urgent,STND
JRC,69,Non Urgent,STND
DUB,69,Non Urgent,ENH
DUB,69,Non Urgent,ENH
DUB,69,Non Urgent,ENH
